asin,title,formFactor,count,price,listPrice,unitPrice,rating,reviewCount,isBestSeller,isAmazonChoice,isSponsored,isPrime,coupon,boughtPastMonth,searchQuery,image,url
B0GTLNMTDM,"2 Packs Hemp Gummies for Sleep, Pain, Anxiety Relaxation and Peace, High Potency Edible Gummies Extra Strength Organic Hemp Oil Extract Vegan Bear Gummy - 160 Counts Candy",Gummy,2 Pack,26.99,$0.17,($0.17$0.17/count),5.0,30,false,false,false,false,20% off coupon appliedSave 20%  with coupon,,THC gummies,https://m.media-amazon.com/images/I/71qwEhI73VL._AC_UL320_.jpg,
B0FSMJRDK4,"Hemp Gummies - Zero Sugar - Extra Strength for Peace & Relaxation - Infused with Hemp Oil, Ashwagandha, L-Theanine - Tasty Relaxation Supplement - Natural Relief - 90 Ct - Formulated in USA",Gummy,90 Ct,16.95,$0.19,($0.19$0.19/count),4.5,35,false,false,false,false,,800+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/816FIwulsKL._AC_UL320_.jpg,
B0FSRQ1WQJ,"Hempgummies Extra Strength for Adults - Blueberry Grape Natural Juice Vitamins, Omega 3 - Chewable Gummy for Deep Bedtimes, Focus, Unwind, Made in USA",Gummy,,5.99,$0.12,($0.12$0.12/count),3.4,43,false,false,false,false,,300+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/819-HKrCzsL._AC_UL320_.jpg,
B0F5443HDY,"HOOLOO Hemp Gummies for Deep Bedtimes, Unwind, Focus - 6 Fruity Flavors Big Cubes Gummy Infused Vitamins Omega 3 - Extra Stength 4,500,000mg for Adults - Made in USA",Gummy,,18.48,$0.37,($0.37$0.37/count),3.9,146,false,false,false,false,,600+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/81V4h9sIOlL._AC_UL320_.jpg,
B087Z9KV7F,"Hemp Gummies 750,000mg Premium Organic Sugar-Free Natural Health Support High Potency Rich in Vitamins B E C D Omega 3 6 9 Super Gummy Bears",Gummy,,19.98,$0.48,($0.48$0.48/count),4.0,1202,false,false,false,false,50% off coupon appliedSave 50%  with coupon,300+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/814HFiw+HaL._AC_UL320_.jpg,
B0DQ2JYBBF,"Mushroom Gummies Supplement 12 in 1 - High Grade Blend for Adults with Lions Mane, Reishi, Cordyceps, & Chaga Mushroom Complex Gummy, Memory & Immune Support & Nootropic Brain Supplements - 60 Gummies",Gummy,60 Gummies,9.82,$0.16,($0.16$0.16/count),4.4,138,false,false,false,false,when you subscribeExtra $1.00 off  when you subscribe,700+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/71NtAzOOSvL._AC_UL320_.jpg,
B0GRGGM4SH,"Hemp Gummies for Sleep, Anxiety, Pain High Potency Extra Strength Hemp Oil Extract Organic Edible Gummy Supplement for Adult Gummy",Gummy,,15.99,$0.20,($0.20$0.20/count),5.0,23,false,false,false,false,20% off coupon appliedSave 20%  with coupon,,THC gummies,https://m.media-amazon.com/images/I/71nGG5+XcsL._AC_UL320_.jpg,
B09JWW7KL4,"Hemp Gummies Edibles-Delicious Butterflies Gummy Bears-Fresh Fruity Flavors-Natural Candy Peace and Relaxation-for Sleep, Calm, Relax-Made in USA-100 Count",Gummy,100 Count,29.99,$0.30,($0.30$0.30/count),3.9,1411,false,false,false,false,when you subscribeExtra 40% off  when you subscribe,1K+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/812Oe3oAMiL._AC_UL320_.jpg,
B0GPHPP361,Hemp Gummies for Sleep Anxiety Pain Inflammation Relief Edible with Omega & Vitamin Premium Fruity Flavors-Natural Candy High Potency 160 Count 2 Pack,Gummy,160 Count,23.29,$0.15,($0.15$0.15/count),5.0,28,false,false,false,false,,50+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/71UqQ5DgrAL._AC_UL320_.jpg,
B0F53R29YS,"HOOLOO Hemp Gummies for Adults, 6 Fruity Flavors for Deep Bedtime, Relax, Hemp Gummy Infused Vitamins and Omega 3, Made in USA",Gummy,,16.48,$0.33,($0.33$0.33/count),3.9,374,false,false,false,false,when you subscribeExtra 10% off  when you subscribe,1K+ bought in past month,THC gummies,https://m.media-amazon.com/images/I/81iaIuZPAdL._AC_UL320_.jpg,
