domain,brand,monthlyVisits,bounceRate,pagesPerVisit,avgVisitDuration,globalRank,countryRank,category,categoryRank,trafficSourceSearch,trafficSourceDirect,trafficSourceSocial,visits_month1,visits_month2,visits_month3,visits_month1_date,visits_month2_date,visits_month3_date,topCountry,topCountryShare,trafficSourceReferral,trafficSourceMail,trafficSourcePaid
koicbd.com,Koi CBD,276334,0.5665300325488665,2.5545285025652475,96.67735162266135,153988,31221,Health/Addictions,38,0.2849775785854301,0.5199524971891684,0.04064868549254271,488278,413905,276334,2025-12-01,2026-01-01,2026-02-01,US,0.9495086917684624,0.14904616148865615,0.0014332777352945975,0.003616985786549019
diamondcbd.com,Diamond CBD,78351,0.28451529567136724,6.866788484230574,253.16672022559217,291363,60391,Health/Addictions,109,0.26491127007007265,0.63955374108513,0.010573730081057072,115006,83909,78351,2025-12-01,2026-01-01,2026-02-01,US,0.9085745891799496,0.07601083909726901,0.0012553803670298782,0.00681721714642135
moonwlkr.com,Moonwlkr,46634,0.3969617842795759,3.7869944681775016,90.49387447957189,512481,121795,Food_and_Drink/Restaurants_and_Delivery,2025,0.32149124374919835,0.5569269992741308,0.018741174412917238,41746,49592,46634,2025-12-01,2026-01-01,2026-02-01,US,0.796377894334837,0.08980488314402499,0.001323600917052388,0.009435435185343698
elyxr.com,Elyxr,92287,0.3319491561243352,3.8109729392212053,218.22002281080935,310324,68215,Games/Video_Games_Consoles_and_Accessories,2093,0.474330144149971,0.4642731435143526,0.01198917304679048,137979,103651,92287,2025-12-01,2026-01-01,2026-02-01,US,0.9269785560394344,0.044805147087884835,0.0007759443870914964,0.0034732026802540296
urb.shop,Urb,79721,0.37721925067771434,5.055745000876015,194.80122894261737,306540,63692,Business_and_Consumer_Services/Business_Services,904,0.35444869080915514,0.5778379120520079,0.01357782079107243,98954,114652,79721,2025-12-01,2026-01-01,2026-02-01,US,0.9390816429082625,0.04764173638996469,0.0008754134545333232,0.004666227051063945
trehouse.com,TRĒ House,388343,0.486506608751901,2.742006021181032,172.1289504351383,120426,24396,Food_and_Drink/Restaurants_and_Delivery,412,0.28784603127622976,0.48365829959657947,0.01519577507578465,322187,307157,388343,2025-12-01,2026-01-01,2026-02-01,US,0.905107218518228,0.18872654008958717,0.0010527328967028877,0.02330692940650999
viiahemp.com,Viia Hemp,129513,0.6064905486707329,3.7385708152057338,68.47655438102339,250186,50981,Games/Video_Games_Consoles_and_Accessories,1572,0.3162211553319375,0.5539673622992068,0.07568571664033551,489708,273423,129513,2025-12-01,2026-01-01,2026-02-01,US,0.8901433297359037,0.046561832993424784,0.001263702874855808,0.005561609695102983
deltamunchies.com,Delta Munchies,87726,0.36233567711590386,7.221808473071602,75.62409465262864,251938,51470,Lifestyle/Beauty_and_Cosmetics,709,0.31731247348450536,0.55753522418794,0.02158247956617666,87690,94213,87726,2025-12-01,2026-01-01,2026-02-01,US,0.899367237992289,0.08690227578004223,0.0007580210761096689,0.015447638156944965
sundayscaries.com,Sunday Scaries,91436,0.4462255987313812,2.2673140585691027,45.15649318440085,369243,83085,Health/Alternative_and_Natural_Medicine,62,0.35371247612984885,0.499970665950282,0.02326761714245884,70363,127801,91436,2025-12-01,2026-01-01,2026-02-01,US,0.7350128796650334,0.08969577395103923,0.0016572733440075346,0.02985169157419823
cbdmd.com,cbdMD,183802,0.5303042392995643,4.7233879760104065,152.3376107085154,167718,37376,Health/Health,860,0.35699550720297396,0.5610684247512796,0.014201965564350775,231744,201778,183802,2025-12-01,2026-01-01,2026-02-01,US,0.7703003009070626,0.060485983281945405,0.0012686956660412365,0.004936529303862615
charlottesweb.com,Charlotte's Web,174158,0.3958642403159532,3.7281725966538612,121.37073445209529,186197,39695,Health/Alternative_and_Natural_Medicine,21,0.3270729442974941,0.6023200300736495,0.010590796125978377,148148,170948,174158,2025-12-01,2026-01-01,2026-02-01,US,0.9006712865237496,0.05226359077028216,0.0012499442022931824,0.006018765162538553
joyorganics.com,Joy Organics,133135,0.3922485701125274,2.2329651576659755,61.72749637077424,278385,65676,Health/Health,1421,0.32282184823569404,0.5607541989630103,0.03823469921116585,152203,183682,133135,2025-12-01,2026-01-01,2026-02-01,US,0.8800503252760218,0.07162981639078442,0.001181784863084003,0.005107544690345692
cornbreadhemp.com,Cornbread Hemp,316639,0.3406286617058697,5.696185037231884,115.12922631042557,94989,19629,Food_and_Drink/Restaurants_and_Delivery,329,0.22142041853615038,0.6254713935149353,0.0154052461041756,339937,393298,316639,2025-12-01,2026-01-01,2026-02-01,US,0.867811012922923,0.11468276264540941,0.0014385369153413641,0.021134793620142412
fivecbd.com,Five CBD,6273,0.8819653794126673,1.2248880062490688,8.294590708345817,3684977,1027089,Gambling/Lottery,1426,0.3288309727741332,0.4171791398148755,0.09896163802394804,9786,6787,6273,2025-12-01,2026-01-01,2026-02-01,US,1.0000000000000002,0.12784740771087366,0.0019788494913639725,0.016436332804935463
medterracbd.com,Medterra,208645,0.5261120407984555,2.785067067093557,92.08904622342766,180431,36876,Health/Health,845,0.17394925580657136,0.731471656792356,0.014067987339882992,197408,172943,208645,2025-12-01,2026-01-01,2026-02-01,US,0.9601036439965304,0.06792493504398928,0.0019821044792718563,0.010246951734835925
plainjane.com,Plain Jane,62739,0.30201597159257826,5.971053671599044,107.70943357211499,345094,71716,Food_and_Drink/Restaurants_and_Delivery,1171,0.4926247843395913,0.44303199306081603,0.014476115502046544,105209,100218,62739,2025-12-01,2026-01-01,2026-02-01,US,0.9112787615943145,0.03715510443521535,0.0009551280763396738,0.011244113764711369
socialcbd.com,Social CBD,5477,0.48613869087717093,2.8511779160634196,48.41612097386009,2737709,752505,Health/Health,11236,0.33555603593350236,0.4731211012526426,0.11594116650978145,10916,8215,5477,2025-12-01,2026-01-01,2026-02-01,US,0.9520068556244401,0.06117013818058087,0.0006439117841910347,0.0128734782712764
tillmanstranquils.com,Tillmans Tranquils,12666,0.5837106128574029,4.214095618808892,69.18313000912964,1307700,304163,Health/Health,5376,0.32655390249440286,0.5422655196661846,0.05849902847341069,22525,13846,12666,2025-12-01,2026-01-01,2026-02-01,US,1,0.04927681535095683,0.000988073451455548,0.02241666056358943
wyldcbd.com,WYLD,25775,0.43944364846676665,3.115437439608553,115.14188420824418,840088,190539,Food_and_Drink/Beverages,625,0.43777483441535064,0.47836719096951624,0.024256488281549363,24150,29307,25775,2025-12-01,2026-01-01,2026-02-01,US,0.9628715267555084,0.042222924769272446,0.0009419479473823883,0.016013402624299247
cheefbotanicals.com,Cheef Botanicals,4003,0.45186677778690737,1.9077730488011728,19.278503206419245,3923003,2135753,Health/Health,23178,0.6368166174289734,0.30208970223769266,0.010206873842156967,56734,29124,4003,2025-12-01,2026-01-01,2026-02-01,US,0.5623008876292054,0.03465124359139495,0.0006386870208823692,0.015171989731669312
galaxytreats.com,Galaxy Treats,22636,0.4649151691720265,3.8251759749512737,85.28113640126435,915623,213095,Pets_and_Animals/Pet_Food_and_Supplies,1112,0.2796387133149432,0.5791180799695509,0.039582740918376276,19227,23201,22636,2025-12-01,2026-01-01,2026-02-01,US,0.9500135205867588,0.0828815170664905,0.0009150615057024483,0.01714088775713476
