productId,brand,shopDomain,productName,productType,price,compareAtPrice,formFactor,thcType,cannabinoids,variantCount,tags,url
7369682518087,Koi CBD,koicbd.com,MusciMind™ Liquid Trip,,59.96,,Gummy,CBD Only,CBD,3,"and More Products from Koi, blocked_LA, Compliant Products, Live Products, Mushroom Products, Mushroom Products/Liquid Mushroom Shots and Extracts, Shop All CBD, THC, Wellness Products, Zero THC Products",https://koicbd.com/products/product-muscimind-liquid-trip
7369684353095,Koi CBD,koicbd.com,The All-Day Wellness Pack,,109.98,219.96,Gummy,CBD Only,"CBD, CBG",1,"and More Products from Koi, and More Products from Koi/Holiday Bundles, Compliant Products, New CBD, Shop All CBD, Shop Koi Best Sellers, THC, THC Products and More from Koi",https://koicbd.com/products/the-all-day-wellness-pack
7369687400519,Koi CBD,koicbd.com,Koi CBD Balm,,39.99,,Vape,CBD Only,"CBD, Broad Spectrum",3,"CBD Cream, CBD for Muscle and Joint Support, CBD Products, CBD Products/CBD Balms, Compliant Products, Live Products, recovery, Shop All CBD, Subscriber Sample Products, THC, Zero THC Products",https://koicbd.com/products/product-cbd-balm
7369685270599,Koi CBD,koicbd.com,YEEHAW Infused Chocolate Bars,,34.99,,Vape,CBD Only,CBD,12,"Compliant Products, Edibles, Mushroom Products, Mushroom Products/Mushroom Chocolate, New CBD, Shop All CBD, THC, THC Products and More from Koi, Zero THC Products",https://koicbd.com/products/product-yeehaw-infused-chocolate-bars
7369684811847,Koi CBD,koicbd.com,Daytime Boost Gummies,,59.99,,Gummy,THC-A,"CBD, CBG, THC-A",2,"CBD Gummies for Energy, CBD Gummies for Focus, CBD Gummies for Stress, Compliant Products, Edibles, gummies, New CBD, No THCA Welcome, Shop All CBD, Shop Cannabinoid Products/CBG Products, THC, THC Products and More from Koi, Wellness Products",https://koicbd.com/products/product-daytime-boost-gummies
7369683664967,Koi CBD,koicbd.com,THCA Flower - Platinum Tier,,84.99,,Vape,THC-A,"CBD, THC-A",9,"blocked_CA, blocked_OR, High THC Products, Legal THCA Products, Legal THCA Products/THCA Flower, Live Products, New CBD, Non-Compliant Products, Shop All CBD, Shop Koi Best Sellers, THC, THC Products and More from Koi",https://koicbd.com/products/product-thca-flower-platinum-tier
7369683632199,Koi CBD,koicbd.com,THCA Flower - Gold Tier,,69.98,,Vape,THC-A,"CBD, THC-A",9,"blocked_CA, blocked_OR, High THC Products, Legal THCA Products, Legal THCA Products/THCA Flower, Live Products, New CBD, Non-Compliant Products, Shop All CBD, THC, THC Products and More from Koi",https://koicbd.com/products/product-thca-flower-gold-tier
7369683566663,Koi CBD,koicbd.com,THCA Flower - Silver Tier,,44.99,,Vape,THC-A,"CBD, THC-A",9,"blocked_CA, blocked_OR, High THC Products, Legal THCA Products, Legal THCA Products/THCA Flower, Live Products, New CBD, Non-Compliant Products, Shop All CBD, THC, THC Products and More from Koi",https://koicbd.com/products/product-thca-flower-silver-tier
7369683468359,Koi CBD,koicbd.com,Dragon Balm,,79.99,,Vape,CBD Only,CBD,1,"CBD Cream, CBD for Muscle and Joint Support, CBD Products, CBD Products/CBD Balms, Compliant Products, Live Products, Medium THC Products, New CBD, recovery, Shop All CBD, Shop Cannabinoid Products, THC, THC Products and More from Koi",https://koicbd.com/products/product-dragon-balm
7369683337287,Koi CBD,koicbd.com,THCA Liquid Diamond Vapes,,39.99,,Vape,Delta-8,"Delta-8 THC, CBD, THC-A",18,"blocked_CA, blocked_KY, blocked_OR, blocked_WA, CBD and THC Vapes, Delta 8, High THC Products, Legal THCA Products, Legal THCA Products/THCa Disposable Vapes, Live Products, Non-Compliant Products, relaxation, Shop All CBD, Shop CBD, THC",https://koicbd.com/products/product-thca-liquid-diamond-vapes-2-gram
