productToken,name,brand,brandToken,retailPrice,currency,rating,reviewCount,badge,isNew,isBestseller,isPromoted,caseSize,minOrderQty,availableUnits,brandCode,basedIn,hasActivePromo,image,url,searchQuery
p_98pfb879jf,FREE Freeze Dried Candy Sampler Box!,The Freeze Dried Candy Store,b_5h5pddfyq4,0.02,USD,4.7,172,,0,0,0,1,1,,,USA,0,https://cdn.faire.com/fastly/487f15c5af07d02cba5149f3cb9c2cedce6c74f808d18037048123768109b484.png?format=jpg,https://www.faire.com/product/p_98pfb879jf,THC gummies
p_t8rp6yegxu,Stoner Mints,Cow Crack Wholesale,b_wxg6yqaab4,4.99,USD,4.9,457,,0,0,0,18,18,,stoner-mints-candy,USA,0,https://cdn.faire.com/fastly/9164148df14f4e3e04602d63ac5a1975aa9882c43b8b196d5fc51313e189c83c.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_t8rp6yegxu,THC gummies
p_qnva4qre8j,UNDO Gummies® Alcohol Support | 2x 15 Packs | 30x Units,UNDO Gummies,b_hkt83d76gq,149.7,USD,,1,,0,0,0,2,2,,699838622258,USA,0,https://cdn.faire.com/fastly/7e4b8ce73ff2b3af76b2d2353c198632d1aeaa61a32c3de618677d5675cf5946.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_qnva4qre8j,THC gummies
p_gevb589m83,"Grüns Adult Sugar Free Superfood Greens Gummies, 30 Servings",Grüns,b_geekrzmdvu,59.99,USD,5.0,12,Bestseller,0,0,0,1,6,,70008,USA,0,"https://cdn.faire.com/fastly/75854f0298c696f546e0e47e71ea10da2f8daa2c7025f373a6eea2588eaf3dd4.jpeg?format=jpg&precrop=2558,2558,x760,y703,safe",https://www.faire.com/product/p_gevb589m83,THC gummies
p_8eptpttvma,Concentrate Mushroom Gummies (5) / Vegan Supplement / Focus,Microjoy,b_qh273szwef,8.0,USD,5.0,60,Bestseller,0,0,0,1,5,,,USA,0,https://cdn.faire.com/fastly/02745b5e1e300862f279a67a847ef1c0f681e4523399d7d093b6100383f4bd02.jpeg?format=jpg,https://www.faire.com/product/p_8eptpttvma,THC gummies
p_savg3pkk57,Mango Mushroom | Mushroom Honey Gummy | Immune & Pain Relief,Honey Drops,b_e33p36c3m2,5.0,USD,5.0,18,,0,0,0,,,,MM01-05,USA,0,https://cdn.faire.com/fastly/99c3c6e679a6eab6a040357753f0cb51d3b17d84600d7ba064edbd4d2956e628.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_savg3pkk57,THC gummies
p_kpyu6ryb2y,750mg Bliss Full Spectrum CBD Gummies - Mixed Berry,Seventh Sense,b_apshota7yl,69.98,USD,,,,0,0,0,1,1,474,10004302,USA,0,https://cdn.faire.com/fastly/f3d3bfa473859d93f95d70708ef7c783857c53072346088dcd7f42045192d388.png?format=jpg&precrop=1:1,https://www.faire.com/product/p_kpyu6ryb2y,THC gummies
p_u32hhpw25x,Raspberry Lion’s Mane Gummies,TRIP,b_ssq9qva95e,22.99,USD,5.0,18,,0,0,0,12,12,,MB.RA.60.12.USA,USA,0,"https://cdn.faire.com/fastly/7623f4d730ee18b68a9ed22abcfdfe0af6c3dd14568fa9a94ec1120d4f799a9a.png?format=jpg&precrop=2801,2801,x369,y461,safe",https://www.faire.com/product/p_u32hhpw25x,THC gummies
p_tub8ybxvr8,Lullaby Natural Sleep Gummies,LucidMood,b_2jhqmyenj6,12.99,USD,,,,0,0,0,6,6,276,GUM-LM-LUL-15,USA,0,"https://cdn.faire.com/fastly/3c5b0e3d35dc55e4f7a42936a64a189ff2618dccdbe39ee0e28c7f678deafcb5.png?format=jpg&precrop=1023,1024,x0,y165,safe",https://www.faire.com/product/p_tub8ybxvr8,THC gummies
p_faexdvjffj,Midnight Reishi | Mushroom Honey Gummy | Sleep & Relaxation,Honey Drops,b_e33p36c3m2,5.0,USD,5.0,18,,0,0,0,,,,MR01-05,USA,0,"https://cdn.faire.com/fastly/db10470d2bba9a12c9124aaa6afce9a7616fa09dcac5c4edf38f6f21926a3414.png?format=jpg&precrop=801,801,x45,y118,safe",https://www.faire.com/product/p_faexdvjffj,THC gummies
p_ktqfq6rzrc,Happy Drops Gummies - Mood & Natural Serotonin Boosting ,Organifi,b_sfmertj2fk,43.0,USD,4.9,28,Bestseller,0,0,0,1,1,,20000160,USA,0,"https://cdn.faire.com/fastly/234e622e1ff0522ec1bfefbf99ed525e185f491e642b949baa92aa756c7a6c56.png?format=jpg&precrop=3333,3333,x324,y333,safe",https://www.faire.com/product/p_ktqfq6rzrc,THC gummies
p_7pq73g336h,Trippi Hippie Blue Lotus Chews 3 2ct Packs,Healing Herbals,b_bqcgv7uqrr,10.0,USD,5.0,4,New,1,0,0,1,1,,,USA,0,https://cdn.faire.com/fastly/63c1b1b596431dfc39b068a71459f4b271783d5aa43b516043d3d31da39f135b.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_7pq73g336h,THC gummies
p_vwgsu6a3kf,Anxiety Relief Gummies,Snapback Sours,b_avy2v466hy,10.0,USD,,,,0,0,0,50,50,,,USA,0,"https://cdn.faire.com/fastly/10b6c94f528a0e49e62a33398f71fd2e92e1a27a100292dcbfe8975d4e277259.jpeg?format=jpg&precrop=3239,3239,x366,y373,safe",https://www.faire.com/product/p_vwgsu6a3kf,THC gummies
p_e5ucna79ud,12-Tube Variety Pack (6 of Each Flavor),Taste Plants,b_9r6m6hjrwx,9.0,USD,5.0,5,,0,0,0,12,12,,OC-LGM-SP,USA,0,https://cdn.faire.com/fastly/f975624bd5d206aec8dc9cd9d420c8edd1696b5a92dcd043c6ae4b38fe8f2c05.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_e5ucna79ud,THC gummies
p_uq5cud5x8x,"BIG ORGASM, a Potent, Functional & Delicious Chocolate Bar",Eat Gold Organics,b_74jyv4tgfh,13.5,USD,5.0,70,Bestseller,0,1,0,12,12,,4779031531994,USA,0,https://cdn.faire.com/fastly/673cfde3ae477dc5cfae33139c1e301df1b52daaf9350a8dc6890215a8238eb5.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_uq5cud5x8x,THC gummies
p_mmqxp99xsk,Daily Passion Gummies 60 Count,SuperMush,b_59ve2pphvj,39.99,USD,4.6,12,Bestseller,0,0,0,6,6,12715,GYSXSB60,USA,0,"https://cdn.faire.com/fastly/cfd580a952a524eb9a11bdd78d7d279b815d6b3084fd3687b3bb3b285bebd495.png?format=jpg&precrop=1031,1031,x22,y20,safe",https://www.faire.com/product/p_mmqxp99xsk,THC gummies
p_fwvn4dtbds,Moon Rocks Freeze Dried Candy - Astro Bites,Fizz and Sweets Wholesale,b_pcnxzypzgn,1.99,USD,4.8,39,,0,0,0,1,24,383,,USA,0,https://cdn.faire.com/fastly/e4e26a7c29aa583dd4eb2145ecb468721cc9b4ba8cceba7b129245b87d6a42f9.jpeg?format=jpg,https://www.faire.com/product/p_fwvn4dtbds,THC gummies
p_ev33dzug4t,Winosaurs Wine Gummies - Non Alcoholic,Saucy Confections,b_s83mn9mmf5,7.25,USD,4.9,98,,0,0,0,,,,W-NARDBL-19.2,USA,0,https://cdn.faire.com/fastly/19eb28af3d641917200334b5b0d06e8beb7b8efc3ea690009178c56f933891d8.jpeg?format=jpg&precrop=1:1,https://www.faire.com/product/p_ev33dzug4t,THC gummies
p_rp98b2cvek,Wild Berry Magnesium Gummies,TRIP,b_ssq9qva95e,22.99,USD,5.0,18,,0,0,0,12,12,,MB.WB.60.12.USA,USA,0,"https://cdn.faire.com/fastly/897cc2ea58c0b9da4676752c0aaae1229c098140835b5986b2cc5e3db653edc0.png?format=jpg&precrop=2816,2816,x350,y448,safe",https://www.faire.com/product/p_rp98b2cvek,THC gummies
