brand,website,state,abbreviation,method,result,details,deliverable,scraped_at
Cookies,https://shop.cookies.co,Ohio,OH,shipping_policy,has_restrictions_other_states,"Restriction language found but Ohio not mentioned: OH, do not ship",likely_yes,2026-04-07T09:34:08.592549
Cookies,https://shop.cookies.co,Texas,TX,shipping_policy,has_restrictions_other_states,"Restriction language found but Texas not mentioned: OH, do not ship",likely_yes,2026-04-07T09:34:08.592557
Cookies,https://shop.cookies.co,Ohio,OH,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592560
Cookies,https://shop.cookies.co,Texas,TX,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592562
Cheech and Chong,https://shopcheechandchong.com,Ohio,OH,shipping_policy,no_restriction_found,No restriction language found mentioning Ohio,likely_yes,2026-04-07T09:34:08.592565
Cheech and Chong,https://shopcheechandchong.com,Texas,TX,shipping_policy,no_restriction_found,No restriction language found mentioning Texas,likely_yes,2026-04-07T09:34:08.592567
Cheech and Chong,https://shopcheechandchong.com,Ohio,OH,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,likely_yes,2026-04-07T09:34:08.592569
Cheech and Chong,https://shopcheechandchong.com,Texas,TX,cart_checkout,no_thca_product_found,Could not find a THCA product to add to cart,likely_yes,2026-04-07T09:34:08.592572
iDelta,https://delta8vapeoil.com,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,likely_yes,2026-04-07T09:34:08.592574
iDelta,https://delta8vapeoil.com,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,likely_yes,2026-04-07T09:34:08.592577
iDelta,https://delta8vapeoil.com,Ohio,OH,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592579
iDelta,https://delta8vapeoil.com,Texas,TX,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592581
Mood,https://mood.com,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,likely_yes,2026-04-07T09:34:08.592584
Mood,https://mood.com,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,likely_yes,2026-04-07T09:34:08.592586
Mood,https://mood.com,Ohio,OH,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592589
Mood,https://mood.com,Texas,TX,cart_checkout,could_not_add_to_cart,Add to cart button not found or failed,likely_yes,2026-04-07T09:34:08.592590
