brand,website,brightfield_rank,brightfield_funnel_pct,state,abbreviation,method,result,details,policy_url,deliverable,scraped_at
iDelta,https://delta8vapeoil.com,4,25.6,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://delta8vapeoil.com/pages/shipping,likely_yes,2026-04-07T16:23:11.738673
iDelta,https://delta8vapeoil.com,4,25.6,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://delta8vapeoil.com/pages/shipping,likely_yes,2026-04-07T16:23:11.738677
iDelta,https://delta8vapeoil.com,4,25.6,Ohio,OH,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T16:23:11.738680
iDelta,https://delta8vapeoil.com,4,25.6,Texas,TX,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T16:23:11.738684
Mystic Labs,https://mysticlabsd8.com,9,16.1,Ohio,OH,shipping_policy,has_restrictions_other_states,"Restriction language found but Ohio not mentioned: OH, do not ship",https://mysticlabsd8.com/shipping-policy,likely_yes,2026-04-07T16:23:11.738686
Mystic Labs,https://mysticlabsd8.com,9,16.1,Texas,TX,shipping_policy,has_restrictions_other_states,"Restriction language found but Texas not mentioned: OH, do not ship",https://mysticlabsd8.com/shipping-policy,likely_yes,2026-04-07T16:23:11.738688
Mystic Labs,https://mysticlabsd8.com,9,16.1,Ohio,OH,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T16:23:11.738689
Mystic Labs,https://mysticlabsd8.com,9,16.1,Texas,TX,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T16:23:11.738691
Hempbombs,https://www.hempbombs.com,12,14.1,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://www.hempbombs.com/policies/shipping-policy,likely_yes,2026-04-07T16:23:11.738694
Hempbombs,https://www.hempbombs.com,12,14.1,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://www.hempbombs.com/policies/shipping-policy,likely_yes,2026-04-07T16:23:11.738696
Hempbombs,https://www.hempbombs.com,12,14.1,Ohio,OH,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T16:23:11.738699
Hempbombs,https://www.hempbombs.com,12,14.1,Texas,TX,cart_checkout,could_not_reach_checkout,Could not navigate to checkout page,,likely_yes,2026-04-07T16:23:11.738702
enjoy,https://enjoyhemp.co,19,11.5,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: OH,https://enjoyhemp.co/shop/,likely_yes,2026-04-07T16:23:11.738708
enjoy,https://enjoyhemp.co,19,11.5,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: OH,https://enjoyhemp.co/shop/,likely_yes,2026-04-07T16:23:11.738709
enjoy,https://enjoyhemp.co,19,11.5,Ohio,OH,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T16:23:11.738711
enjoy,https://enjoyhemp.co,19,11.5,Texas,TX,cart_checkout,could_not_enter_zip,No zip code input field found on checkout page,,likely_yes,2026-04-07T16:23:11.738713
Exhale,https://www.exhalewell.com,22,11.3,Ohio,OH,shipping_policy,has_restrictions_other_states,Restriction language found but Ohio not mentioned: do not ship,https://www.exhalewell.com/shipping-policy,yes,2026-04-07T16:23:11.738716
Exhale,https://www.exhalewell.com,22,11.3,Texas,TX,shipping_policy,has_restrictions_other_states,Restriction language found but Texas not mentioned: do not ship,https://www.exhalewell.com/shipping-policy,yes,2026-04-07T16:23:11.738718
Exhale,https://www.exhalewell.com,22,11.3,Ohio,OH,cart_checkout,deliverable,Shipping options available (found 'free shipping' on checkout page),,yes,2026-04-07T16:23:11.738719
Exhale,https://www.exhalewell.com,22,11.3,Texas,TX,cart_checkout,deliverable,Shipping options available (found 'free shipping' on checkout page),,yes,2026-04-07T16:23:11.738721
ELYXR,https://www.elyxr.com,23,11.0,Ohio,OH,shipping_policy,has_restrictions_other_states,"Restriction language found but Ohio not mentioned: OH, restricted state, restricted states",https://www.elyxr.com/policies/shipping-policy,likely_yes,2026-04-07T16:23:11.738723
ELYXR,https://www.elyxr.com,23,11.0,Texas,TX,shipping_policy,has_restrictions_other_states,"Restriction language found but Texas not mentioned: OH, restricted state, restricted states",https://www.elyxr.com/policies/shipping-policy,likely_yes,2026-04-07T16:23:11.738725
ELYXR,https://www.elyxr.com,23,11.0,Ohio,OH,cart_checkout,cart_empty_at_checkout,Cart was empty when reaching checkout — add-to-cart may not have worked,,likely_yes,2026-04-07T16:23:11.738727
ELYXR,https://www.elyxr.com,23,11.0,Texas,TX,cart_checkout,cart_empty_at_checkout,Cart was empty when reaching checkout — add-to-cart may not have worked,,likely_yes,2026-04-07T16:23:11.738729
