productName,brand,price,thcContent,cbdContent,category,rating,reviewCount,dispensaryCount,market,searchQuery,url,image
Marionberry Indica Enhanced Gummies 100mg,WYLD,21.00,100mg,,GUMMIES,4.9,869,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-marionberry-indica-enhanced-gummies-100mg,
Raspberry Sativa Enhanced Gummies 100mg,WYLD,21.00,100mg,,GUMMIES,4.9,767,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-raspberry-sativa-enhanced-gummies-100mg,
Huckleberry Hybrid Enhanced Gummies 100mg,WYLD,21.00,100mg,,GUMMIES,4.9,1029,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-huckleberry-hybrid-enhanced-gummies-100mg,
Elderberry 2:1 CBN + Indica Enhanced Gummies 100mg:50mg,WYLD,23.10,100mg,,GUMMIES,4.9,754,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-elderberry-2-1-thc-cbn-enhanced-gummies-100mg,
Strawberry 20:1 CBD + Hybrid Enhanced Gummies 200:10mg,WYLD,23.10,10mg,200mg,GUMMIES,4.7,323,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-strawberry-high-cbd-gummies,
Pear 1:1 CBG + Hybrid Enhanced Gummies 100mg,WYLD,23.10,100mg,,GUMMIES,4.9,348,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-pear-1-1-cbg-hybrid-enhanced-gummies-100mg,
Granddaddy Purp | Melted Diamond Live Resin Vaporizer | 1.0g (Reload),,42.00,,,PODS,4.8,168,,Los Angeles,THC gummies,https://weedmaps.com/brands/rove/products/rove-grand-daddy-purp-100-live-resin-diamond-vaporizer-1-0g-reload,
Kiwi 1:1 THCv + Sativa Enhanced Gummies | 100:100mg,WYLD,23.10,100mg,,GUMMIES,4.8,276,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-kiwi-1-1-thcv-sativa-enhanced-gummies-100-100mg,
Boysenberry 1:1:1 CBD+CBN Enhanced Gummies,WYLD,23.10,100mg,100mg,GUMMIES,4.8,72,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-boysenberry-1-1-1-cbd-cbn-enhanced-gummies,
Peach 2:1 CBD + Hybrid Enhanced Gummies 100:50mg,WYLD,21.00,50mg,100mg,GUMMIES,4.8,308,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-peach-gummies,
Pomegranate 1:1 CBD + Hybrid Enhanced Gummies 100:100mg,WYLD,21.00,,100mg,GUMMIES,4.9,327,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-pomegranate-1-1-100mg-100mg-thc-cbd-hybrid-enhanced-gummies,
Pomegranate 1:1 CBD + Hybrid Enhanced Gummies | 100:100mg,WYLD,23.10,10mg,10mg,GUMMIES,4.9,59,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-pomegranate-1-1-cbd-hybrid-enhanced-gummies-1000-1000mg,
Blood Orange 1:1 CBC Sativa Enhanced Gummies | 100:100mg,WYLD,21.00,100mg,,GUMMIES,4.8,265,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-blood-orange-1-1-cbc-sativa-enhanced-gummies,
Grapefruit 1:1:1 CBG:CBC + Sativa Enhanced Gummies | 100:100:100mg,WYLD,21.00,100mg,,GUMMIES,4.9,265,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-grapefruit-1-1-1-cbg-cbc-sativa-enhanced-gummies,
Blood Orange 1:1 CBC Sativa Enhanced Gummies | IL,WYLD,23.10,10mg,,GUMMIES,4.4,19,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-blood-orange-1-1-cbc-sativa-enhanced-gummies-568469a0-2516-4505-acef-4ca949b117af,
Point Breeze Hybrid 3.5g,,40.00,,,,4.9,41,,Los Angeles,THC gummies,https://weedmaps.com/brands/khalifa-kush/products/khalifa-kush-point-breeze-hybrid-3-5g,
Peach CBD:CBC 2:1 Gummies | 20-Pack,WYLD,23.10,,400mg,GUMMIES,4.3,3,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-200mg-peach-cbd-cbc-gummies-10-pack,
Sour Tangerine Hybrid Enhanced Gummies | 200mg,WYLD,21.00,,,GUMMIES,4.7,13,,Los Angeles,THC gummies,https://weedmaps.com/brands/wyld/products/wyld-sour-tangerine-200mg-hybrid-gummies-by-wyld,
